Gene	sgRNA	DMSO|beta	DMSO|z	DMSO|p-value	DMSO|fdr	DMSO|wald-p-value	DMSO|wald-fdr	osi|beta	osi|z	osi|p-value	osi|fdr	osi|wald-p-value	osi|wald-fdr
GABRQ	4	-0.45301	-1.8663	0.0015696	0.0094757	0.061998	0.82207	-0.021519	-0.08869	0.83974	0.89765	0.92933	0.96508
WSB2	4	-0.10756	-0.2455	0.28609	0.41731	0.80607	0.99926	-0.073442	-0.16769	0.6685	0.77852	0.86683	0.93486
LMO3	4	-0.17319	-0.50734	0.11139	0.20716	0.61191	0.99926	-0.72407	-2.1192	0.0023021	0.01153	0.034073	0.15002
ZKSCAN7	4	-0.22413	-1.0685	0.051117	0.11659	0.2853	0.99926	-0.012806	-0.061069	0.86868	0.91704	0.9513	0.97706
GOLGA6B	4	-0.32668	-0.80471	0.010621	0.037789	0.42098	0.99926	-0.29106	-0.71732	0.17156	0.29997	0.47318	0.68261
GPRC5C	4	0.0052051	0.014107	0.91943	0.94667	0.98874	0.99926	-0.76479	-2.0644	0.0015696	0.0088365	0.038981	0.16292
LENEP	4	-0.41665	-1.2936	0.0024591	0.012912	0.1958	0.97786	-0.57944	-1.799	0.012348	0.042233	0.072012	0.23481
MYNN	4	-0.090027	-0.3104	0.35698	0.48886	0.75625	0.99926	0.15461	0.53342	0.57071	0.69941	0.59374	0.76914
ZNF395	4	-0.011883	-0.048039	0.8016	0.86522	0.96168	0.99926	-0.16549	-0.66901	0.40449	0.55312	0.50349	0.70618
MESP1	4	-0.16405	-0.49674	0.12709	0.22838	0.61937	0.99926	-0.40461	-1.225	0.069429	0.1551	0.22059	0.44766
UNC45A	4	-0.45428	-1.3371	0.0015696	0.0094757	0.18117	0.96974	-0.59457	-1.7502	0.010516	0.037612	0.080084	0.24998
ZNF302	4	-0.38236	-1.5866	0.004238	0.019113	0.11261	0.91512	-0.80471	-3.3363	0.0010987	0.0065359	0.00084888	0.019269
THSD1	4	-0.098524	-0.42153	0.31999	0.45153	0.67337	0.99926	-0.25385	-1.086	0.22723	0.3664	0.27747	0.50677
ACSS2	4	-0.46206	-2.0538	0.001465	0.0091713	0.039993	0.76051	-0.15022	-0.67071	0.44284	0.58733	0.50241	0.70549
KMT2E	4	-0.13073	-0.55272	0.20918	0.33019	0.58045	0.99926	-0.12335	-0.52152	0.5174	0.65326	0.602	0.77467
RNF114	4	-0.16036	-0.51304	0.13441	0.23789	0.60792	0.99926	-0.44367	-1.4175	0.048606	0.11904	0.15634	0.37021
ZC4H2	4	-0.11146	-0.20861	0.27186	0.40229	0.83475	0.99926	0.41313	0.7769	0.088526	0.18581	0.43722	0.65336
CMAS	4	-0.17541	-0.81091	0.10741	0.20167	0.41742	0.99926	0.19456	0.90047	0.45346	0.59727	0.36787	0.59314
C19orf80	4	-0.37546	-1.2554	0.0048658	0.021243	0.20935	0.98269	-0.42429	-1.4205	0.057971	0.13587	0.15546	0.36932
BIN3	4	-0.12504	-0.46157	0.22623	0.3506	0.64439	0.99926	0.042285	0.15611	0.93481	0.95966	0.87595	0.93899
APOBR	4	-0.077544	-0.42879	0.41401	0.5446	0.66807	0.99926	-0.2501	-1.383	0.23382	0.37435	0.16667	0.38421
ERBB2IP	4	-0.24568	-0.74214	0.037514	0.093836	0.458	0.99926	-0.42997	-1.2986	0.055355	0.13136	0.19407	0.41691
LANCL2	4	-0.010996	-0.025334	0.80835	0.87042	0.97979	0.99926	0.051358	0.11854	0.90321	0.93943	0.90564	0.95285
NXT2	4	-0.23113	-0.77754	0.046199	0.10845	0.43684	0.99926	-0.62728	-2.1095	0.0078481	0.030352	0.034897	0.15214
CTTNBP2NL	4	-0.11864	-0.59634	0.24606	0.37376	0.55095	0.99926	-0.22642	-1.1382	0.27562	0.42314	0.25504	0.48435
RCC2	4	-0.20538	-1.007	0.067755	0.14245	0.31395	0.99926	-0.41124	-2.0162	0.065557	0.14837	0.043782	0.17393
NKRF	4	-0.42211	-1.4543	0.0024591	0.012912	0.14587	0.93893	-0.77767	-2.6776	0.001308	0.0075965	0.0074158	0.061923
FAM212B	4	-0.44996	-1.3772	0.0016219	0.0096603	0.16844	0.95304	-0.42873	-1.3124	0.056192	0.13302	0.1894	0.41151
DMAP1	4	-0.8929	-2.227	0	0	0.025947	0.67825	-0.57044	-1.4293	0.013342	0.044745	0.15291	0.36549
MYO5C	4	-0.059196	-0.21838	0.51122	0.63341	0.82713	0.99926	0.049306	0.18211	0.91153	0.94556	0.8555	0.92899
APOM	4	-0.09585	-0.43731	0.33223	0.46408	0.66189	0.99926	-0.060538	-0.27625	0.70915	0.80924	0.78235	0.89138
ZMAT5	4	-0.69356	-2.4518	5.232e-05	0.00061387	0.014215	0.59713	-0.45791	-1.6192	0.04149	0.10526	0.10541	0.2959
LIN37	4	-0.080171	-0.274	0.40145	0.53288	0.78409	0.99926	-0.92562	-3.1633	5.232e-05	0.00043422	0.0015602	0.027035
KLHL9	4	-0.2983	-1.1932	0.016586	0.051959	0.23278	0.98834	-0.6623	-2.6491	0.0047612	0.020155	0.0080711	0.06498
SULF2	4	-0.081467	-0.37897	0.39622	0.52814	0.70471	0.99926	0.20697	0.96298	0.42155	0.56912	0.33556	0.56433
3-Sep	4	-0.078169	-0.44506	0.41066	0.54165	0.65628	0.99926	-0.18872	-1.0745	0.35379	0.5041	0.28259	0.51168
AJAP1	4	-0.14299	-0.47694	0.17512	0.28986	0.63341	0.99926	-0.40336	-1.3448	0.070266	0.15653	0.17868	0.39873
NDUFA12	4	-0.089938	-0.22715	0.3573	0.48918	0.82031	0.99926	-0.1138	-0.28826	0.54418	0.67688	0.77315	0.88518
NSFL1C	4	-0.35876	-1.1594	0.0065401	0.026647	0.24628	0.99225	-0.11614	-0.37606	0.53686	0.67061	0.70688	0.84383
C20orf24	4	-0.206	-0.72588	0.067284	0.14186	0.46791	0.99926	0.2479	0.87398	0.32355	0.47307	0.38213	0.60631
GNG12	4	-0.05433	-0.12038	0.53738	0.65587	0.90418	0.99926	-1.3977	-3.0654	0	0	0.0021735	0.032062
BAIAP2L1	4	0.067624	0.29905	0.65348	0.7535	0.7649	0.99926	0.044907	0.19859	0.92607	0.95413	0.84258	0.92214
SLC25A40	4	-0.1979	-0.55151	0.076022	0.15527	0.58128	0.99926	0.30822	0.86001	0.21174	0.34888	0.38978	0.61301
BCAP29	4	-0.4342	-1.1657	0.0023544	0.012912	0.24374	0.99128	-0.20611	-0.5547	0.31591	0.46496	0.5791	0.75937
SLC50A1	4	0.024793	0.071168	0.94004	0.96039	0.94326	0.99926	-0.52486	-1.5054	0.02119	0.063261	0.13222	0.33773
KLHL7	4	-0.29533	-0.85085	0.01737	0.053844	0.39485	0.99926	-0.62554	-1.7962	0.0079004	0.030419	0.072469	0.23564
CFC1	4	-0.82253	-1.9995	0	0	0.045559	0.77818	-0.1598	-0.39884	0.41919	0.5667	0.69001	0.83359
NXF5	4	-0.12937	-0.42519	0.21331	0.33525	0.6707	0.99926	-0.87996	-2.8836	0.00020928	0.0015842	0.0039311	0.044223
NXF3	4	0.17143	0.7235	0.17072	0.28463	0.46937	0.99926	0.11316	0.4778	0.69979	0.80258	0.63279	0.79444
NXF2	4	-0.60662	-1.3917	0.00010464	0.0011105	0.16401	0.95108	-0.3462	-0.79538	0.11479	0.22424	0.42639	0.64463
MYDGF	4	-0.22061	-0.64303	0.053471	0.12032	0.52021	0.99926	0.046779	0.13668	0.91964	0.95011	0.89128	0.94619
SMG9	4	-0.45782	-0.94358	0.0015173	0.0093368	0.34538	0.99926	-1.7806	-3.5522	0	0	0.00038204	0.012036
BARX1	4	-0.17378	-0.50325	0.1105	0.20605	0.61479	0.99926	0.39643	1.1481	0.10333	0.20772	0.25093	0.47956
PDGFC	4	0.19988	0.58416	0.10563	0.19921	0.55911	0.99926	0.37175	1.0867	0.12777	0.2414	0.27718	0.50655
ALG1	4	-0.5727	-1.1005	0.00015696	0.0014837	0.27111	0.99926	-1.334	-2.5484	0	0	0.010821	0.077347
UBFD1	4	0.077492	0.19422	0.59127	0.70166	0.846	0.99926	-0.16033	-0.40176	0.41794	0.56548	0.68786	0.83262
KLHL4	4	-0.035319	-0.16339	0.65191	0.75219	0.87021	0.99926	0.13361	0.6181	0.6335	0.75046	0.53651	0.7301
TMEM234	4	-0.35884	-1.0967	0.0065401	0.026647	0.27279	0.99926	-0.80813	-2.469	0.0010464	0.0065359	0.01355	0.088207
PCDHGC5	4	-0.20977	-0.54147	0.062784	0.13459	0.58818	0.99926	0.17019	0.44162	0.52148	0.65624	0.65876	0.8122
PCDHGC4	4	0.046372	0.1955	0.79292	0.85893	0.845	0.99926	-0.12298	-0.51848	0.51802	0.65362	0.60413	0.77604
PCDHGB7	4	-0.32725	-1.9266	0.010464	0.037411	0.054024	0.80376	-0.1756	-1.039	0.38084	0.53031	0.29879	0.52802
PCDHGB6	4	-0.20237	-0.73389	0.070737	0.14697	0.46302	0.99926	-0.1878	-0.6811	0.35567	0.50584	0.49581	0.70045
PCDHGB5	4	-0.15702	-0.5946	0.14174	0.24787	0.55211	0.99926	0.44432	1.687	0.064563	0.14673	0.091603	0.27225
PCDHGB3	4	-0.051407	-0.17546	0.55297	0.66892	0.86071	0.99926	0.28983	0.98933	0.24245	0.38476	0.3225	0.55148
PCDHGB2	4	-0.19781	-0.93208	0.076022	0.15527	0.35129	0.99926	-0.35099	-1.6539	0.10998	0.21697	0.098149	0.28312
PCDHGB1	4	-0.1985	-0.7382	0.075394	0.15445	0.46039	0.99926	-0.16127	-0.59996	0.41501	0.56243	0.54853	0.73853
PCDHGA11	4	0.14571	0.58366	0.24878	0.37666	0.55945	0.99926	-0.1194	-0.47807	0.52713	0.66161	0.6326	0.7943
PCDHGA10	4	0.026073	0.088621	0.92942	0.95336	0.92938	0.99926	-0.12637	-0.42955	0.50714	0.64448	0.66752	0.81801
PCDHGA9	4	-0.085796	-0.30721	0.3766	0.50866	0.75868	0.99926	-0.12636	-0.45288	0.50725	0.64457	0.65064	0.80724
PCDHGA7	4	-0.23915	-0.96954	0.041595	0.10104	0.33227	0.99926	0.3593	1.4609	0.14069	0.25933	0.14404	0.35371
PCDHGA6	4	0.18868	0.49407	0.1296	0.23169	0.62125	0.99926	0.1534	0.40194	0.57422	0.70175	0.68773	0.83252
PCDHGA5	4	-0.0034532	-0.0088357	0.85936	0.90606	0.99295	0.99983	0.30129	0.77103	0.2232	0.36199	0.44069	0.65617
PCDHGA4	4	-0.5577	-1.6929	0.0002616	0.0022371	0.090467	0.88222	-0.42102	-1.2796	0.060064	0.13981	0.2007	0.42508
PCDHGA3	4	-0.36176	-1.1866	0.0061215	0.025308	0.23537	0.98851	-0.79809	-2.6142	0.0010987	0.0065359	0.008943	0.068895
PCDHGA2	4	-0.11971	-0.44291	0.24219	0.36887	0.65783	0.99926	-0.16436	-0.60883	0.40695	0.55514	0.54264	0.73453
PCDHGA1	4	-0.20162	-0.77634	0.071731	0.14846	0.43755	0.99926	0.024528	0.094455	0.99655	0.99785	0.92475	0.96241
PCDHB15	4	0.017065	0.039166	0.99697	0.99796	0.96876	0.99926	-0.32132	-0.73652	0.13834	0.25603	0.46142	0.67283
PCDHB14	4	-0.43012	-1.1355	0.0024067	0.012912	0.25615	0.99723	-0.82548	-2.1777	0.00078481	0.0050319	0.029428	0.13674
PCDHB13	4	0.30194	0.8164	0.015696	0.049967	0.41427	0.99926	-0.13353	-0.36092	0.48716	0.62675	0.71816	0.8506
PCDHB12	4	-0.18964	-0.7181	0.08659	0.17131	0.47269	0.99926	-0.066233	-0.25148	0.69011	0.79496	0.80144	0.90081
PCDHB11	4	0.36734	1.1191	0.0040287	0.018541	0.26308	0.99926	0.22165	0.67529	0.3844	0.53375	0.49949	0.70367
PCDHB10	4	-0.075778	-0.26365	0.42212	0.55226	0.79205	0.99926	0.4246	1.4775	0.08026	0.17292	0.13954	0.34831
PCDHB9	4	-0.12373	-0.55903	0.23026	0.35535	0.57614	0.99926	0.23344	1.0548	0.35505	0.50521	0.2915	0.52088
PCDHB8	4	-0.092621	-0.3504	0.345	0.47648	0.72604	0.99926	-0.56163	-2.1241	0.014336	0.046982	0.033662	0.14907
PCDHB7	4	-0.67364	-2.3011	5.232e-05	0.00061387	0.021387	0.64517	-0.60167	-2.0581	0.0098362	0.03583	0.039579	0.16424
PCDHB6	4	-0.069635	-0.24191	0.45398	0.58239	0.80885	0.99926	-0.66876	-2.3207	0.0045519	0.019603	0.020304	0.11107
PCDHB4	4	0.39898	0.70936	0.0022498	0.012726	0.4781	0.99926	-0.35352	-0.62252	0.10773	0.21392	0.5336	0.72874
PCDHB3	4	-0.11816	-0.31473	0.24748	0.37507	0.75296	0.99926	-0.20371	-0.54272	0.32099	0.47037	0.58732	0.76499
PCDHB2	4	0.08216	0.28903	0.56187	0.67643	0.77256	0.99926	-0.4695	-1.6516	0.037147	0.097074	0.09862	0.28379
PCDHAC2	4	0.33828	0.49483	0.0075865	0.030202	0.62072	0.99926	0.78586	1.1562	0.0017789	0.0094313	0.24759	0.47559
PCDHAC1	4	-0.15413	-0.93476	0.14791	0.25586	0.34991	0.99926	0.080071	0.48566	0.80757	0.87583	0.62721	0.79046
PCDHA13	4	-0.36384	-1.1927	0.0058076	0.024215	0.233	0.98834	-0.58719	-1.9234	0.011458	0.040073	0.054426	0.19871
PCDHA12	4	-0.096365	-0.46499	0.33019	0.46187	0.64194	0.99926	-0.2703	-1.3043	0.20117	0.33642	0.19215	0.41473
PCDHA11	4	-0.043035	-0.24256	0.60294	0.71189	0.80835	0.99926	-0.36513	-2.0576	0.098467	0.20051	0.039626	0.16431
PCDHA10	4	-0.077283	-0.25441	0.41558	0.5464	0.79918	0.99926	-0.87849	-2.8857	0.00020928	0.0015842	0.003906	0.044123
PCDHA8	4	-0.15974	-0.56113	0.13546	0.23906	0.57471	0.99926	0.096421	0.3406	0.75258	0.83916	0.7334	0.86097
PCDHA7	4	0.20093	0.60626	0.10375	0.19651	0.54434	0.99926	-0.23712	-0.71466	0.25674	0.40178	0.47482	0.68399
PCDHA6	4	0.0198	0.077709	0.97891	0.98655	0.93806	0.99926	0.22868	0.89822	0.36698	0.51699	0.36907	0.59396
PCDHA5	4	-0.23855	-0.71786	0.041856	0.10138	0.47285	0.99926	-0.45395	-1.3658	0.043321	0.10888	0.172	0.39034
PCDHA4	4	0.017883	0.066847	0.99236	0.99528	0.9467	0.99926	-0.070382	-0.26312	0.67812	0.78575	0.79246	0.89596
PCDHA3	4	-0.33271	-1.0027	0.0097839	0.035769	0.31599	0.99926	-0.53943	-1.6251	0.018103	0.056087	0.10414	0.29371
PCDHA2	4	-0.22311	-0.74757	0.051745	0.11767	0.45472	0.99926	-0.39633	-1.328	0.07508	0.16462	0.18418	0.40485
PCDHA1	4	-0.21253	-0.62442	0.060378	0.13091	0.53235	0.99926	-0.4532	-1.3296	0.043688	0.10941	0.18366	0.40436
TEX15	4	0.096216	0.53599	0.48025	0.60619	0.59197	0.99926	-0.059782	-0.33303	0.71151	0.81091	0.73911	0.86363
TEX14	4	-0.16627	-0.76419	0.12285	0.22241	0.44476	0.99926	-0.25055	-1.1516	0.23293	0.37324	0.24949	0.47799
TEX13B	4	-0.38774	-1.7432	0.0039764	0.018353	0.081299	0.85968	-0.20631	-0.92785	0.31565	0.46486	0.35348	0.58127
TEX13A	4	-0.13036	-0.72431	0.21028	0.33157	0.46887	0.99926	-0.088059	-0.48928	0.62209	0.74063	0.62464	0.78887
TEX12	4	-0.20021	-0.62542	0.073353	0.15106	0.5317	0.99926	0.21317	0.66693	0.40496	0.55365	0.50481	0.70718
TEX11	4	-0.043026	-0.18626	0.60305	0.71196	0.85224	0.99926	-0.19285	-0.83486	0.34385	0.49362	0.4038	0.62497
NDNL2	4	-0.86935	-1.8378	0	0	0.066087	0.83155	-0.86126	-1.8212	0.00036624	0.0026616	0.068575	0.22794
RNF17	4	0.085405	0.16144	0.54439	0.66139	0.87175	0.99926	0.63724	1.2057	0.0083189	0.031466	0.22794	0.45518
STK31	4	0.27952	0.67364	0.025846	0.07237	0.50054	0.99926	-0.60542	-1.4497	0.0093654	0.034529	0.14713	0.35762
TDRD1	4	-0.093886	-0.22392	0.34055	0.47235	0.82282	0.99926	-1.1525	-2.7131	0	0	0.0066666	0.058182
GSDMC	4	-0.34707	-0.97431	0.0081097	0.031388	0.3299	0.99926	-0.27236	-0.76592	0.19835	0.33307	0.44372	0.6583
DNAH7	4	0.11331	0.3915	0.38858	0.52079	0.69543	0.99926	0.56012	1.9356	0.019411	0.059076	0.052918	0.19527
ANKH	4	-0.2436	-0.78344	0.038822	0.096301	0.43337	0.99926	-0.55636	-1.789	0.014911	0.04833	0.07361	0.23778
MOSPD1	4	0.099904	0.32048	0.45911	0.5868	0.74861	0.99926	-0.78088	-2.4932	0.001308	0.0075965	0.01266	0.084731
MTFR1L	4	-0.25662	-1.2557	0.031706	0.083333	0.20922	0.98269	-0.22416	-1.097	0.28007	0.42862	0.27264	0.50212
LMOD3	4	0.11702	0.27786	0.37006	0.5022	0.78112	0.99926	0.61022	1.4495	0.01151	0.040249	0.14719	0.35767
FAM214A	4	0.18298	0.62643	0.14205	0.24831	0.53103	0.99926	-0.95336	-3.2629	5.232e-05	0.00043422	0.0011027	0.022397
SUSD2	4	0.04123	0.11275	0.82734	0.88471	0.91023	0.99926	-0.2131	-0.58225	0.30168	0.45086	0.5604	0.74672
ZNF253	4	0.11746	0.44889	0.3675	0.4994	0.65351	0.99926	-0.62067	-2.3666	0.0080573	0.030696	0.017952	0.10397
KIAA1217	4	-0.23756	-0.52573	0.042275	0.10192	0.59907	0.99926	-0.34954	-0.77371	0.11102	0.2184	0.4391	0.65501
BTNL2	4	-0.25582	-1.4454	0.032072	0.084019	0.14835	0.94059	-0.34252	-1.9353	0.11756	0.22798	0.052954	0.19535
C21orf62	4	0.26117	0.63824	0.036101	0.09133	0.52332	0.99926	0.4437	1.0855	0.065034	0.14743	0.2777	0.50684
MRAP	4	0.011934	0.025683	0.9673	0.97934	0.97951	0.99926	0.42863	0.92274	0.077016	0.16788	0.35614	0.58328
YLPM1	4	-0.21471	-0.57992	0.05818	0.12754	0.56197	0.99926	0.09026	0.2438	0.77267	0.8529	0.80739	0.90444
CRTAM	4	-0.020961	-0.067657	0.74342	0.8229	0.94606	0.99926	0.33963	1.0965	0.16491	0.2912	0.27285	0.50236
RNF20	4	-0.96841	-2.3091	0	0	0.020941	0.64517	-0.76287	-1.8209	0.0016219	0.008847	0.068619	0.22804
TMX4	4	0.06112	0.13989	0.69461	0.78607	0.88874	0.99926	0.79209	1.8221	0.0016743	0.0090293	0.068447	0.22764
SERTAD4	4	-0.15231	-0.45235	0.15236	0.26147	0.65102	0.99926	-0.91155	-2.6888	5.232e-05	0.00043422	0.0071704	0.060838
MEPCE	4	-0.59407	-1.219	0.00015696	0.0014837	0.22286	0.98761	-1.3009	-2.6546	0	0	0.0079405	0.064472
CTNNBL1	4	-0.60534	-1.417	0.00010464	0.0011105	0.15649	0.94609	-0.32092	-0.75266	0.13922	0.2574	0.45166	0.66399
C8orf44	4	-0.25603	-0.5184	0.031915	0.083665	0.60418	0.99926	-1.1156	-2.2283	0	0	0.025861	0.12713
GPCPD1	4	-0.32442	-1.0805	0.010883	0.038256	0.27993	0.99926	0.27201	0.90622	0.27536	0.423	0.36482	0.59086
LRRC8A	4	-0.47956	-1.2963	0.0012034	0.0081676	0.19486	0.97712	0.11604	0.31428	0.69005	0.79496	0.75331	0.87313
CPXM1	4	-0.24795	-0.86612	0.035996	0.09115	0.38642	0.99926	-0.29479	-1.0299	0.16722	0.29426	0.30304	0.53265
CCBL2	4	0.1049	0.30037	0.43211	0.56218	0.7639	0.99926	-0.1327	-0.37994	0.48951	0.62885	0.70399	0.84178
IRGC	4	-0.14255	-0.88836	0.17637	0.29131	0.37435	0.99926	-0.21555	-1.3434	0.29713	0.44653	0.17915	0.39927
WDR45B	4	0.22633	0.51415	0.066918	0.14128	0.60715	0.99926	-0.3595	-0.81457	0.10281	0.20691	0.41532	0.63534
BEX4	4	-0.02617	-0.12088	0.70905	0.79704	0.90378	0.99926	0.27303	1.2633	0.27364	0.42099	0.20648	0.43098
GKN1	4	0.089184	0.2758	0.52237	0.64334	0.7827	0.99926	0.16804	0.51977	0.52802	0.66247	0.60323	0.77535
PARD3	4	-0.12049	-0.53124	0.24005	0.36642	0.59525	0.99926	-0.7954	-3.4999	0.0010987	0.0065359	0.00046552	0.013537
IL36G	4	0.22648	0.81569	0.066656	0.14085	0.41468	0.99926	-0.38672	-1.3911	0.081986	0.17567	0.16418	0.38078
SLC7A10	4	-0.20901	-0.70412	0.063622	0.13585	0.48136	0.99926	-0.41974	-1.4137	0.060639	0.14057	0.15746	0.37145
TRPV5	4	-0.22598	-0.74926	0.049861	0.11475	0.4537	0.99926	-0.67322	-2.2303	0.004238	0.018489	0.025727	0.12666
ANKRD7	4	0.14835	0.49882	0.23947	0.36581	0.6179	0.99926	-0.12179	-0.40939	0.52033	0.6554	0.68225	0.8293
METTL3	4	-1.0511	-2.5892	0	0	0.0096198	0.53761	-1.479	-3.6359	0	0	0.00027697	0.0102
PRMT8	4	-0.099695	-0.47954	0.31633	0.44872	0.63155	0.99926	-0.064816	-0.31182	0.6955	0.799	0.75518	0.87441
PPAN	4	-0.73228	-2.2075	5.232e-05	0.00061387	0.027283	0.68522	-0.51344	-1.5482	0.024067	0.070005	0.12157	0.32227
CABP5	4	0.0075993	0.041991	0.93533	0.95691	0.96651	0.99926	-0.43228	-2.3883	0.054099	0.12925	0.016926	0.10068
LTB4R2	4	0.013745	0.061085	0.98054	0.98772	0.95129	0.99926	-0.11025	-0.48998	0.55475	0.68619	0.62415	0.78861
CTPS2	4	0.22891	0.8442	0.063831	0.13624	0.39856	0.99926	-0.35424	-1.3062	0.1072	0.21335	0.19149	0.41422
RPRM	4	0.1111	0.3662	0.40072	0.53217	0.71422	0.99926	-0.49999	-1.6471	0.027364	0.07698	0.099546	0.28525
CCL28	4	0.014324	0.042979	0.98394	0.99005	0.96572	0.99926	0.25747	0.7727	0.3043	0.45381	0.4397	0.65534
EIF4ENIF1	4	-0.30573	-0.71011	0.014807	0.047844	0.47764	0.99926	-1.5434	-3.542	0	0	0.00039711	0.012297
KCNQ5	4	0.0203	0.067623	0.97494	0.98395	0.94609	0.99926	0.18961	0.63278	0.46733	0.6099	0.52687	0.72402
DNAJC12	4	-0.20128	-0.5005	0.07215	0.14921	0.61672	0.99926	0.45121	1.1236	0.060901	0.14102	0.26119	0.48952
MMP26	4	0.046506	0.24206	0.79213	0.85852	0.80873	0.99926	-0.58364	-3.0357	0.011929	0.041334	0.0023996	0.033857
CHST7	4	-0.11382	-0.34822	0.26281	0.39208	0.72768	0.99926	-0.077638	-0.23829	0.65542	0.76806	0.81165	0.90656
CYP26B1	4	-0.25499	-0.94838	0.0327	0.085336	0.34294	0.99926	-0.6289	-2.3385	0.0077957	0.030285	0.019359	0.10817
ERO1LB	4	-0.12428	-0.85912	0.22848	0.35326	0.39028	0.99926	-0.11134	-0.76962	0.55135	0.68318	0.44153	0.65678
SLC2A9	4	-0.077589	-0.3239	0.41375	0.54437	0.74601	0.99926	-0.18237	-0.76151	0.36619	0.51626	0.44635	0.6602
DIABLO	4	0.078889	0.37408	0.58363	0.69554	0.70835	0.99926	0.044096	0.2091	0.92869	0.95574	0.83437	0.91799
INPP5E	4	-0.017866	-0.064289	0.7632	0.83694	0.94874	0.99926	0.017551	0.06317	0.97803	0.98597	0.94963	0.97635
ASAH2	4	-0.39396	-1.0847	0.0035578	0.016924	0.27807	0.99926	-1.4174	-3.874	0	0	0.00010706	0.0059139
BCCIP	4	-0.94028	-1.7963	0	0	0.072454	0.83844	-0.21768	-0.42228	0.29341	0.44255	0.67282	0.82244
EIF5A2	4	-0.23307	-0.64097	0.044734	0.10579	0.52154	0.99926	-0.53107	-1.4604	0.019672	0.059635	0.14419	0.35381
TMPRSS4	4	-0.12906	-0.45351	0.21425	0.33637	0.65018	0.99926	-0.41383	-1.4537	0.064093	0.14604	0.14602	0.35582
CLDND1	4	-0.3389	-0.96096	0.0086329	0.032474	0.33657	0.99926	-0.58534	-1.6582	0.011824	0.041173	0.097274	0.28221
C10orf2	4	-0.74317	-2.1474	5.232e-05	0.00061387	0.031765	0.72404	-0.78741	-2.2777	0.0010987	0.0065359	0.022744	0.11883
NPDC1	4	-0.33817	-0.91039	0.0087375	0.032758	0.36262	0.99926	-0.96124	-2.5813	5.232e-05	0.00043422	0.0098418	0.072994
POLE4	4	-0.27064	-1.0027	0.025532	0.071638	0.316	0.99926	-0.078789	-0.2922	0.65191	0.76536	0.77013	0.88352
OR2S2	4	-0.38036	-1.5502	0.0044472	0.019846	0.1211	0.92358	-0.2663	-1.0854	0.20703	0.3431	0.27773	0.50684
TRIM39	4	-0.42771	-1.293	0.0024067	0.012912	0.196	0.97848	-0.3991	-1.2105	0.073039	0.16101	0.22607	0.45331
KCNK13	4	-0.14582	-0.75003	0.16847	0.28179	0.45324	0.99926	0.072698	0.37395	0.83121	0.89133	0.70844	0.84475
KCNK12	4	-0.30278	-1.6442	0.015539	0.049591	0.10012	0.89761	-0.11207	-0.60887	0.54931	0.68136	0.54261	0.73453
PANX2	4	-0.49952	-1.6698	0.00078481	0.0057759	0.094961	0.88698	-0.53501	-1.7892	0.018678	0.057313	0.073577	0.23775
MUC13	4	-0.33692	-0.99948	0.0089991	0.033574	0.31756	0.99926	-0.80428	-2.3806	0.0010987	0.0065359	0.017285	0.10209
SUCNR1	4	0.19498	0.56399	0.11579	0.21283	0.57276	0.99926	0.079114	0.2289	0.8107	0.87756	0.81894	0.91
AKIP1	4	-0.088387	-0.25415	0.36462	0.49633	0.79938	0.99926	-0.011061	-0.031821	0.87464	0.92054	0.97461	0.98767
C11orf16	4	-0.46758	-2.2585	0.0013603	0.008719	0.023917	0.66147	-0.56628	-2.7352	0.013708	0.045645	0.0062341	0.056444
TMEM9B	4	-0.09633	-0.38709	0.33046	0.4622	0.69869	0.99926	-0.12817	-0.51537	0.50154	0.63885	0.60629	0.77762
NRIP3	4	-0.31709	-1.2279	0.012295	0.041904	0.21948	0.98571	-0.67856	-2.6263	0.0041856	0.018344	0.0086325	0.067405
ASCL3	4	-0.38479	-0.94377	0.0041333	0.018836	0.34529	0.99926	-0.80959	-1.9789	0.00099409	0.0062521	0.047822	0.18394
SAR1A	4	-0.16252	-0.51932	0.12981	0.23196	0.60354	0.99926	0.019581	0.062736	0.98545	0.99085	0.94998	0.97658
C21orf59	4	-1.2494	-2.7449	0	0	0.0060525	0.50355	-1.0836	-2.3952	0	0	0.016613	0.099722
JPH1	4	-0.091962	-0.4213	0.3484	0.47996	0.67353	0.99926	0.1068	0.48933	0.71967	0.81681	0.62461	0.78887
RETN	4	-0.19897	-0.75259	0.074923	0.15375	0.45169	0.99926	-0.71374	-2.6959	0.002616	0.012801	0.0070199	0.060113
SLC2A4RG	4	0.01067	0.073847	0.95678	0.97168	0.94113	0.99926	0.097493	0.67547	0.7486	0.83653	0.49938	0.70367
BARHL1	4	0.13454	0.44634	0.29221	0.42362	0.65535	0.99926	-0.20018	-0.66349	0.32836	0.47759	0.50702	0.70853
FMN2	4	-0.41616	-1.3872	0.0025114	0.013169	0.16539	0.95227	-0.35891	-1.1971	0.10333	0.20772	0.23125	0.45857
ZC3HAV1	4	0.039712	0.14934	0.83817	0.89149	0.88128	0.99926	-0.13266	-0.4989	0.48951	0.62885	0.61785	0.78516
IFNK	4	-0.077243	-0.29849	0.41584	0.54662	0.76533	0.99926	0.041336	0.15988	0.93816	0.9614	0.87298	0.93724
